OBJECTID,SNA_NAME,SHAPE_LENG,SNA_NUMBER,ACRES,SHAPE__Area,SHAPE__Length
1,South Fairmount,0.07849385,44,344.14936959,2317861.16796875,9369.67309915699
2,Roselawn,0.12131021,41,1042.80612429,7036566.625,16880.0410802695
3,Mt. Lookout,0.09569757,28,912.90535217,6148635.62890625,11984.4932179219
4,Westwood,0.27117139,49,3732.29364765,25148027.8789062,27324.2650637579
5,Mt. Adams,0.03659201,25,151.91910734,1022573.8125,4600.95561507704
6,Millvale,0.05357413,24,283.93800357,1913358.046875,6926.92665103142
7,North Fairmount,0.08614665,31,543.78966364,3663093.3125,10673.3952785299
8,Sayler Park,0.10928425,42,737.69453732,4967009.1015625,14496.8987776248
9,Carthage,0.10238304,5,788.50830572,5321108.08203125,12928.8391087581
10,Pendleton,0.03137189,36,95.63485958,643762.71875,3955.06459498314
11,Columbia Tusculum,0.06858187,8,339.9835118,2288979.5,8689.58251093911
12,Northside,0.12591391,32,1131.07020229,7626352.84375,16257.045198445
13,English Woods_North Fairmount,0.03512022,16,120.56036477,812251.2734375,4321.71245444572
14,East Price Hill,0.13261141,13,1923.13394689,12946234.3320312,16881.9013317154
15,Oakley,0.12224905,33,1644.45968779,11083258.3164062,15166.4666205655
16,Kennedy Heights,0.11025338,20,641.92101124,4330043.984375,12457.2922952261
17,Riverside_Sedamsville,0.1795125,39,956.11515335,6431967.23828125,21857.5102660407
18,Downtown,0.07400494,11,624.37294505,4201776.25390625,8964.45495204655
19,Clifton,0.11739304,6,1420.63063686,9574516.2734375,14711.0469814382
20,Mt. Washington,0.22509568,29,2130.16295688,14331606.0195312,33847.6409342658
21,Over-the-Rhine,0.05857085,34,276.70428529,1862799.15234375,7511.31202609205
22,Mt. Auburn,0.05470756,27,448.39771435,3019228.859375,6958.00858782406
23,Mt. Airy,0.20945642,26,2202.53382651,14856097.453125,24437.368267696
24,California,0.13636918,3,1355.16043162,9111547.45703125,17415.8927597243
25,East Westwood,0.07940244,15,425.89480626,2869972.30078125,10261.3829607256
26,Linwood,0.22353539,21,2485.44975451,16728661.1015625,22776.3056759888
27,CUF,0.10688329,10,1020.70794203,6875067.19921875,13850.8991578725
28,Hartwell,0.12576632,18,784.34303274,5295124.38671875,15321.2128947386
29,North Avondale,0.09401921,30,471.4950394,3178183.859375,11749.6435617276
30,Camp Washington,0.08490763,4,796.3008737,5364634.8125,11281.8355781006
31,Madisonville,0.36822845,23,1526.48509136,10289995.40625,18070.5254138891
32,Walnut Hills,0.10817658,46,939.9410342,6329860.484375,13967.2539217646
33,Avondale,0.12745867,1,1394.99898215,9400008.44921875,16020.3790864796
34,Bond Hill,0.10771926,2,1149.11248709,7749972.2109375,13309.9663855883
35,Pleasant Ridge,0.13786884,37,1082.71197044,7302743.109375,19348.4945090259
36,Winton Hills,0.10302257,50,1340.97044158,9047230.69921875,13120.4060431422
37,West Price Hill,0.17807433,48,1735.68855164,11685129.4921875,25067.3611820688
38,East End,0.18097872,12,774.56345919,5214692.125,22134.165569533
39,Hyde Park,0.15378455,19,1859.59713053,12526413.2695312,18864.1431586163
40,Evanston,0.11502185,17,879.44149096,5925139.1640625,14365.4307701454
41,College Hill,0.21857798,7,2493.72114847,16827508.6835938,29724.7695388046
42,Spring Grove Village,0.13473677,45,1227.90709035,8280774.37890625,17344.252487462
43,East Walnut Hills,0.08545084,14,454.68505477,3062159.30859375,10433.9076102885
44,West End,0.07056784,47,530.25355374,3569658.88671875,9270.83520679223
45,Corryville,0.05143191,9,332.03840696,2236662.62109375,6692.58149818171
46,Riverside,0.25176841,38,1187.56725214,7989215.29296875,30376.9676255751
47,Lower Price Hill_Queensgate,0.11307002,22,1273.88207159,8574575.27734375,14454.9484350742
48,South Cumminsville,0.06333655,43,269.51277662,1816373.34765625,8428.39602809295
49,Roll Hill,0.04920848,40,261.11284261,1760085.546875,6231.44410167929
50,Paddock Hills,0.05292373,35,252.00380359,1698918.109375,6561.12659748765
