OBJECTID,NAME,SHORT_NAME,PARKTYPE,COUNTY,SHOW,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE__Area,SHAPE__Length
1,BENGALS PRACTICE FIELD,Bengals Practice Field,County Government,Hamilton,1,22ea86f1-515d-4ada-a145-488e1314f74c,,,51202.95703125,942.29496156959
2,DELHI TWP. TRUSTEES-DELHI RD. SPRING SITE,Delhi Springhouse,Township,Hamilton,1,ef2baa3e-e66e-42e6-8e10-9554e532d093,,,939.35546875,154.54804406699
3,YMCA COLERAIN BRANCH,YMCA Colerain Branch,Nonprofit,Hamilton,1,2f0dfb3f-5879-4218-8008-8644631fb8e1,,,88142.1640625,1683.49136640494
4,Warder Nursery,Warder Nursery,City or Village,Hamilton,1,e82119dc-d789-4c81-9c89-70e90dcbb59b,,,62040.03125,1026.78677369584
5,NORTON ST. Preserve,Baltimore Run Preserve,Conservation Group,Hamilton,1,609e9c95-faeb-4571-a105-91ba00cd6aa5,,,68262.3515625,3246.79837720757
6,Village Park,Tunis Park,City or Village,Hamilton,1,7c37c94b-ea1a-4b9b-832e-4ab0bd9e2665,,,6967.22265625,336.140906242524
7,Gulf Park,Cleves Community Park,City or Village,Hamilton,1,7737633d-0c29-45b2-bf6b-f690860dbf07,,,393983.75390625,2608.99286251303
8,WEST FORK PARK,West Fork Park,Township,Hamilton,1,c34428c1-8b21-451d-a821-fb39986a9846,,,86699.01171875,1674.74350334292
9,Broadwell Woods Nature Preserve,Broadwell Woods,Park District,Hamilton,1,488c27db-2ec3-411d-b593-0aa18966941a,,,457978.62109375,3667.17380298896
10,GREENSPACE-HILLSIDE,Ida Street Open Space,City or Village,Hamilton,1,0e392cc6-0dd0-414d-917a-e90dbc052361,,,2951.12109375,272.472990643135
11,Memorial Park-Sharon@Waycross,Memorial Park,City or Village,Hamilton,1,e4c2633f-b3a4-4ee5-b371-50f6fc74e5b2,,,846.69140625,115.438845380649
12,Central Park,Central Park,City or Village,Hamilton,1,731ab970-fa80-446c-97f4-2dced8a349fb,,,123886.52734375,1622.42192839808
13,MILVALE ELEMENTARY SCHOOL,Millvale Elementary School,Schools-Public,Hamilton,1,a37edd51-7a5e-4903-bd44-984dc55e25ad,,,23168.62109375,854.117287681644
14,MCQUEETY MEDIAN,McQueety Median,City or Village,Hamilton,1,d5c781d9-fb31-4fd3-904b-4d8760bfd074,,,4284.5703125,1017.86981345954
15,Knights of Columbus Sports Park,Knights of Columbus Sports Park,Other Private,Hamilton,1,610d2fc3-3899-43b8-9be1-0179db394b1e,,,121023.9296875,1408.61918144796
16,Veterans Memorial Park,Veterans Memorial Park,City or Village,Hamilton,1,031d3042-3461-4e72-a9e3-e920961b0686,,,4655.08984375,270.717903403156
17,Spring Grove Village Recreation Area,Spring Grove Village Recreation Area,City or Village,Hamilton,1,70cc7fa9-1a78-431a-8dec-06d0807787d7,,,92938.375,1409.95993238747
18,DRY FORK PARK,Whitewater Township Community Park,Township,Hamilton,1,ee3c6a5e-4e23-4530-bb48-694af1fc3d42,,,94865.56640625,1338.48883361661
19,Phillips Park,Phillips Park,City or Village,Hamilton,1,b8ded717-490c-4f9a-a2bc-c54ff5ab2ceb,,,609973.3046875,4276.76125840599
20,WASHINGTON AVENUE PARK,Washington Park,City or Village,Hamilton,1,ad3169a5-080f-47b6-af09-9b30688c7299,,,68148.44921875,1057.3905397424
21,BRENTWOOD PARK,Brentwood Park,Township,Hamilton,1,caf17923-e1f4-474e-b2fd-98acd81f85dc,,,59017.76171875,1705.0925481993
22,Northbrook Civic Assoc. Fields,Northbrook Civic Center Fields,Clubs-Members Only,Hamilton,1,44fa0bdd-9c1a-4b17-9145-d196ef13ad03,,,186010.26171875,2300.70694233207
23,Whittier Garden Park,Whittier Garden,Nonprofit,Hamilton,1,4d98cd22-96e6-4383-8e11-fd1beb891809,,,11351.91796875,433.375204613079
24,Aiken High School,Aiken High School,Schools-Public,Hamilton,1,da75ad41-15b6-432d-9eb4-e97583a3004d,,,311133.24609375,4692.26752004522
